Year,Date,Setlist
1969,01/24/69,cryptical envelopment:drums:the other one:cryptical envelopment:new potato caboose:dupree's diamond blues:doin' that rag:dark star:turn on your love light:
1969,01/26/69,cryptical envelopment:drums:the other one:cryptical envelopment:clementine:death don't have no mercy:dark star:st. stephen:the eleven:turn on your love light:
1969,02/02/69,good morning little school girl:dark star:st. stephen:the eleven:death don't have no mercy:cryptical envelopment:drums:the other one:cryptical envelopment:turn on your love light:
1969,02/04/69,good morning little school girl:morning dew:dark star:st. stephen:the eleven:death don't have no mercy:
1969,02/05/69,turn on your love light:cryptical envelopment:the other one:cryptical envelopment:dark star:st. stephen:the eleven:caution (do not stop on tracks):feedback:and we bid you goodnight:
1969,02/06/69,morning dew:dark star:st. stephen:the eleven:turn on your love light:cryptical envelopment:the other one:cryptical envelopment:feedback:and we bid you goodnight:
1969,02/07/69,dark star:st. stephen:the eleven:turn on your love light:
1969,02/07/69,george washington story:cryptical envelopment:the other one:cryptical envelopment:death don't have no mercy:alligator:drums:jam:china cat sunflower jam:primal alligator jam:caution (do not stop on tracks):feedback:and we bid you goodnight:
1969,02/11/69,good morning little school girl:cryptical envelopment:the other one:cryptical envelopment:doin' that rag:i'm a king bee:turn on your love light:hey jude::
1969,02/11/69,dupree's diamond blues:mountains of the moon:dark star:st. stephen:the eleven jam:drums:caution (do not stop on tracks):feedback:and we bid you goodnight:
1969,02/12/69,dupree's diamond blues:mountains of the moon::
1969,02/12/69,dark star:st. stephen:the eleven:death don't have no mercy:alligator:drums:alligator:caution (do not stop on tracks):feedback:and we bid you goodnight:
1969,02/14/69,good morning little school girl:dark star:st. stephen:the eleven:turn on your love light:morning dew:cryptical envelopment:drums:the other one:cryptical envelopment:death don't have no mercy:alligator:drums:alligator:caution (do not stop on tracks):
1969,02/15/69,doin' that rag:cryptical envelopment:drums:the other one:cryptical envelopment:morning dew:turn on your love light:dupree's diamond blues:mountains of the moon:dark star:st. stephen:the eleven:
1969,02/21/69,good morning little school girl:doin' that rag:dark star:st. stephen:the eleven:turn on your love light:morning dew:
1969,02/22/69,dupree's diamond blues:mountains of the moon:dark star:cryptical envelopment:drums:the other one:cryptical envelopment:death don't have no mercy:doin' that rag:st. stephen:the eleven:turn on your love light:
1969,02/27/69,good morning little school girl:doin' that rag:cryptical envelopment:drums:the other one:cryptical envelopment:it hurts me too:dupree's diamond blues:mountains of the moon:dark star:st. stephen:the eleven:turn on your love light:cosmic charlie:
1969,02/28/69,morning dew:good morning little school girl:doin' that rag:i'm a king bee:turn on your love light:cryptical envelopment:drums:the other one:cryptical envelopment:dark star:st. stephen:the eleven:death don't have no mercy:alligator:drums:alligator:caution (do not stop on tracks):feedback:and we bid you goodnight:
1969,03/01/69,cryptical envelopment:the other one:cryptical envelopment:new potato caboose:doin' that rag:cosmic charlie:dupree's diamond blues:mountains of the moon:dark star:st. stephen:the eleven:turn on your love light:hey jude:
1969,03/02/69,dark star:st. stephen:the eleven:turn on your love light:doin' that rag:cryptical envelopment:drums:the other one:cryptical envelopment:death don't have no mercy:morning dew:alligator:drums:caution (do not stop on tracks) jam:caution (do not stop on tracks):feedback:and we bid you goodnight:
1969,03/11/69,cosmic charlie:mountains of the moon:
1969,03/15/69,morning dew:alligator:drums:alligator:hard to handle:good morning little school girl:dark star:st. stephen:the eleven:turn on your love light:
1969,03/27/69,good morning little school girl:dark star:st. stephen:the eleven:death don't have no mercy:turn on your love light:cryptical envelopment:drums:the other one:cryptical envelopment:
1969,03/28/69,good morning little school girl:dark star:st. stephen:the eleven:death don't have no mercy:turn on your love light:cryptical envelopment:drums:the other one:cryptical envelopment:
1969,03/29/69,morning dew:good morning little school girl:doin' that rag:dark star:st. stephen:the eleven:turn on your love light:
1969,04/05/69,dupree's diamond blues:mountains of the moon:dark star:st. stephen:turn on your love light:hard to handle:cosmic charlie:china cat sunflower:doin' that rag:cryptical envelopment:the other one:cryptical envelopment:the eleven:it's a sin:alligator:feedback:and we bid you goodnight:
1969,04/06/69,good morning little school girl:beat it on down the line:it's all over now baby blue:i'm a king bee:cryptical envelopment:drums:the other one:cryptical envelopment:death don't have no mercy:turn on your love light:viola lee blues:what's become of the baby:and we bid you goodnight:
